RESUMEN DE RESULTADOS

Configuración,Mejor Fitness,Fitness Promedio Final,Desv. Estándar Final,Tiempo (s),Mutación Rate,Mutación Strength,Cruce,Selección,Elitismo
Baseline (Referencia Estándar),500.00,341.34,208.47,213.7,0.1,0.3,uniform,tournament,2
Alta Mutación (Exploración Agresiva),500.00,386.72,185.99,201.1,0.3,0.8,uniform,tournament,2
Alto Elitismo (Convergencia Rápida),500.00,273.93,208.67,254.0,0.05,0.2,single_point,tournament,10
Mutación Adaptativa (Exploración a Explotación),500.00,458.76,120.74,321.3,0.2,0.6,two_point,tournament,3
Diversidad Máxima (Rango + Blend),500.00,179.84,175.69,91.2,0.15,0.4,blend,rank,2


DETALLE: Baseline (Referencia Estándar)
Generación,Mejor Fitness,Fitness Promedio,Peor Fitness,Desv. Estándar,Fuerza Mutación
80,500.00,458.76,9.20,120.74,0.0000

DETALLE: Diversidad Máxima (Rango + Blend)
Generación,Mejor Fitness,Fitness Promedio,Peor Fitness,Desv. Estándar,Fuerza Mutación
0,10.80,9.29,9.20,0.32,0.4000
1,54.60,12.62,9.20,8.49,0.4000
2,83.40,18.48,9.20,17.04,0.4000
3,190.80,24.48,9.00,30.88,0.4000
4,190.80,18.08,9.20,30.69,0.4000
5,209.40,22.60,9.20,40.12,0.4000
6,209.40,22.76,9.20,39.96,0.4000
7,209.40,20.97,9.20,37.91,0.4000
8,209.40,22.95,8.60,41.23,0.4000
9,320.40,34.06,9.20,67.00,0.4000
10,320.40,31.61,9.20,61.92,0.4000
11,320.40,33.83,9.20,59.14,0.4000
12,320.40,37.61,9.20,63.94,0.4000
13,320.40,37.57,9.20,67.71,0.4000
14,320.40,25.86,9.20,59.19,0.4000
15,320.40,34.23,9.20,59.85,0.4000
16,320.40,39.52,9.00,64.34,0.4000
17,320.40,32.34,9.00,61.21,0.4000
18,320.40,33.52,9.20,60.26,0.4000
19,320.40,40.57,9.20,63.65,0.4000
20,320.40,51.82,8.80,70.14,0.4000
21,455.60,50.25,9.20,86.79,0.4000
22,500.00,51.88,9.20,99.27,0.4000
23,500.00,50.51,9.20,98.90,0.4000
24,500.00,57.83,8.80,108.33,0.4000
25,500.00,59.23,8.60,99.82,0.4000
26,500.00,35.28,9.20,91.57,0.4000
27,500.00,47.56,9.20,112.62,0.4000
28,500.00,52.35,9.20,104.98,0.4000
29,500.00,50.65,9.20,97.91,0.4000
30,500.00,43.16,9.20,96.62,0.4000
31,500.00,62.62,9.20,102.29,0.4000
32,500.00,53.47,9.20,115.35,0.4000
33,500.00,79.40,9.20,128.83,0.4000
34,500.00,64.36,9.20,119.83,0.4000
35,500.00,73.62,9.20,128.84,0.4000
36,500.00,76.02,9.20,118.64,0.4000
37,500.00,90.52,9.20,136.60,0.4000
38,500.00,80.06,9.20,128.22,0.4000
39,500.00,70.82,9.20,111.52,0.4000
40,500.00,64.62,9.20,118.01,0.4000
41,500.00,71.52,9.20,107.95,0.4000
42,500.00,87.39,9.20,131.21,0.4000
43,500.00,101.04,9.20,133.47,0.4000
44,500.00,85.69,9.20,123.81,0.4000
45,500.00,83.72,9.20,135.47,0.4000
46,500.00,79.23,9.20,131.27,0.4000
47,500.00,97.02,9.20,136.34,0.4000
48,500.00,96.34,9.20,131.05,0.4000
49,500.00,109.71,9.20,141.40,0.4000
50,500.00,131.54,9.20,157.61,0.4000
51,500.00,118.50,9.20,141.13,0.4000
52,500.00,108.62,9.20,135.47,0.4000
53,500.00,116.59,9.20,138.99,0.4000
54,500.00,140.80,9.20,172.58,0.4000
55,500.00,104.92,9.20,154.12,0.4000
56,500.00,135.89,9.20,154.73,0.4000
57,500.00,151.48,9.20,165.06,0.4000
58,500.00,125.60,9.20,152.16,0.4000
59,500.00,157.01,9.20,174.56,0.4000
60,500.00,161.69,9.20,168.08,0.4000
61,500.00,139.43,9.20,163.22,0.4000
62,500.00,149.34,9.20,153.11,0.4000
63,500.00,156.21,9.20,151.55,0.4000
64,500.00,123.88,9.20,153.93,0.4000
65,500.00,134.21,9.20,147.05,0.4000
66,500.00,140.08,9.20,163.72,0.4000
67,500.00,131.84,9.20,166.63,0.4000
68,500.00,97.14,9.20,134.65,0.4000
69,500.00,100.80,9.20,146.42,0.4000
70,500.00,120.88,9.20,144.77,0.4000
71,500.00,78.17,9.20,113.32,0.4000
72,500.00,89.41,9.20,140.75,0.4000
73,500.00,103.90,9.20,150.53,0.4000
74,500.00,99.53,9.20,130.55,0.4000
75,500.00,120.57,9.20,155.20,0.4000
76,500.00,166.70,9.20,184.47,0.4000
77,500.00,151.80,9.20,164.75,0.4000
78,500.00,135.63,9.20,160.50,0.4000
79,500.00,122.40,9.20,142.61,0.4000
80,500.00,179.84,9.20,175.69,0.0000

